"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Убедимся в том, что при нажатии на логотип Яндекс будет переход на страницу Дзен.ру","1636","Проверка перехода при нажатии на логотип Яндекс на страницу Дзен.ру","","Tue Aug 05 23:42:30 MSK 2025","passed","Tue Aug 05 23:42:31 MSK 2025","TestHomePage","test_home_page","",""
"Убедимся в том, что при нажатии на логотип 'Самокат' будет переход на домашнюю страницу","138","Проверка перехода при нажатии на логотип «Самокат» на домашнюю страницу сервиса","","Tue Aug 05 23:42:23 MSK 2025","passed","Tue Aug 05 23:42:23 MSK 2025","TestHomePage","test_home_page","",""
